hash,confirmations,strippedSize,size,weight,height,version,merkleRoot,txnCount,reward,txnFeeTotal,totalInputValue,totalOutputValue,time,nonce,bits,difficulty,previousBlockHash,nextBlockHash
00000000d3d761c869b9f1f1df2e6aeb64242222d2f9e972dbbaa8574e384c78,324886,216,216,864,31524,1,e14f448a426d68a5fc0c5317133c06ad764192a703de4a4798d4e95a5fc90e6b,1,50,0,0,50,2009-12-25 11:11:27 -0500 EST,51277837,1d00ffff,1,00000000bba9673e648c6d6f5ab423317eebdd5ac6c4704dd498d64e6b4302b7,000000002fe4b9e3bf77c5a2409bf8447136deb343a68c03300a39289cbd2a9f
000000002fe4b9e3bf77c5a2409bf8447136deb343a68c03300a39289cbd2a9f,324885,216,216,864,31525,1,8c2c1666e2a04b34bf2b2a82b70d6770e66ff804bd13a771f1ca96e0b66bb7c8,1,50,0,0,50,2009-12-25 11:20:21 -0500 EST,159458945,1d00ffff,1,00000000d3d761c869b9f1f1df2e6aeb64242222d2f9e972dbbaa8574e384c78,000000007d393c242d680900e6987c006d1f8793a8f4dd91bbfed23959ef92c5
000000007d393c242d680900e6987c006d1f8793a8f4dd91bbfed23959ef92c5,324884,216,216,864,31526,1,d7281e09866df8c59e1e1afd9b317110061cb7039f7eb1e2d00eae3c7685778d,1,50,0,0,50,2009-12-25 11:32:55 -0500 EST,226123889,1d00ffff,1,000000002fe4b9e3bf77c5a2409bf8447136deb343a68c03300a39289cbd2a9f,000000008c8e4c48dd8094525a4aa25dc50500ce3642e816ac8664f22bef9465
000000008c8e4c48dd8094525a4aa25dc50500ce3642e816ac8664f22bef9465,324883,216,216,864,31527,1,68c1f596ad1dda5b1349e352be322eb2dac9342e4bb9fadf75a0be47b1393aa9,1,50,0,0,50,2009-12-25 11:39:42 -0500 EST,133011647,1d00ffff,1,000000007d393c242d680900e6987c006d1f8793a8f4dd91bbfed23959ef92c5,0000000064a83a14894f0b7eb1a9b2e34d37be0c03a1243cc4e8e7f65d985c4e
0000000064a83a14894f0b7eb1a9b2e34d37be0c03a1243cc4e8e7f65d985c4e,324882,216,216,864,31528,1,d8ae64946d1da53232fedd6f7387bbd845a5bd252cec8cffedcdf3999863de2b,1,50,0,0,50,2009-12-25 11:43:04 -0500 EST,50713797,1d00ffff,1,000000008c8e4c48dd8094525a4aa25dc50500ce3642e816ac8664f22bef9465,0000000069dfa835e265f599859b9f7fc2349d9ca10a4918a5bd761cd09bffd6
0000000069dfa835e265f599859b9f7fc2349d9ca10a4918a5bd761cd09bffd6,324881,216,216,864,31529,1,df848bab6f2728f0da48cf727847fa49752ea76f59194a116983d9c802e0b9f0,1,50,0,0,50,2009-12-25 11:50:29 -0500 EST,174395131,1d00ffff,1,0000000064a83a14894f0b7eb1a9b2e34d37be0c03a1243cc4e8e7f65d985c4e,000000001bb8c3b1e2b17547e70b72e798037d488a1bc8378b407ca8cd0bce87
000000001bb8c3b1e2b17547e70b72e798037d488a1bc8378b407ca8cd0bce87,324880,215,215,860,31530,1,4b079dcb9a4b270ae860865d40f4e562901fba421ba390e5682250c6d8fc0b9b,1,50,0,0,50,2009-12-25 12:07:02 -0500 EST,316951165,1d00ffff,1,0000000069dfa835e265f599859b9f7fc2349d9ca10a4918a5bd761cd09bffd6,000000008b4a71c80971bff49ab132f45bcdf9ff882632a1da67cd0e49760e20
000000008b4a71c80971bff49ab132f45bcdf9ff882632a1da67cd0e49760e20,324879,216,216,864,31531,1,f65f6dc13dc6d1ce058ccef8ce7e35c86b2343d61e5e2aa5ef2a43ccf85bb455,1,50,0,0,50,2009-12-25 12:27:28 -0500 EST,3368100117,1d00ffff,1,000000001bb8c3b1e2b17547e70b72e798037d488a1bc8378b407ca8cd0bce87,00000000fe88a4087f43ab51bb33c891dd367b4f0213f62f8e9ad532d6d74718
00000000fe88a4087f43ab51bb33c891dd367b4f0213f62f8e9ad532d6d74718,324878,216,216,864,31532,1,87820b152768f93ea6a53ba8ac50516be8cf1332913c7f887a7c4969561ac542,1,50,0,0,50,2009-12-25 13:25:11 -0500 EST,1507736091,1d00ffff,1,000000008b4a71c80971bff49ab132f45bcdf9ff882632a1da67cd0e49760e20,0000000001399114c9a6c27cc4743c564f4ace54571690b9eb104faf83158b9b
0000000001399114c9a6c27cc4743c564f4ace54571690b9eb104faf83158b9b,324877,216,216,864,31533,1,12cc66ff667423a598178959fd4488497590ecbf6197fbcb77d758152d9c2420,1,50,0,0,50,2009-12-25 13:27:07 -0500 EST,19849672,1d00ffff,1,00000000fe88a4087f43ab51bb33c891dd367b4f0213f62f8e9ad532d6d74718,0000000063f706aeb395dd7dc3bf5f0e0e48bc6bd574cba4f14c3c44a2d5ea3d
0000000063f706aeb395dd7dc3bf5f0e0e48bc6bd574cba4f14c3c44a2d5ea3d,324876,215,215,860,31534,1,10147e93fbd565db9e360b4550c5fbf40143be29aa8069e6fe628edb2095d5c5,1,50,0,0,50,2009-12-25 13:28:47 -0500 EST,41504702,1d00ffff,1,0000000001399114c9a6c27cc4743c564f4ace54571690b9eb104faf83158b9b,00000000a8f6e1a175facb23d9aba5dbbbff96ffe8e1d7928a6c04c0a184c4a8
00000000a8f6e1a175facb23d9aba5dbbbff96ffe8e1d7928a6c04c0a184c4a8,324875,215,215,860,31535,1,4ed3c7a79bf0c4e9806ef62c7cdc32f0aace2fcc198489a150a5facbfe4035cc,1,50,0,0,50,2009-12-25 13:29:47 -0500 EST,16940291,1d00ffff,1,0000000063f706aeb395dd7dc3bf5f0e0e48bc6bd574cba4f14c3c44a2d5ea3d,000000005babe1b75e8d4725ad4f8c7c0df3a73c236ff945cd68ed2cee8969e3
000000005babe1b75e8d4725ad4f8c7c0df3a73c236ff945cd68ed2cee8969e3,324874,216,216,864,31536,1,4f829f34a47c5967a437e556a0456cd72b6ef2bf9f4fe0222242cf64dd5b6ceb,1,50,0,0,50,2009-12-25 13:34:01 -0500 EST,63202844,1d00ffff,1,00000000a8f6e1a175facb23d9aba5dbbbff96ffe8e1d7928a6c04c0a184c4a8,0000000013a23e1856d468bb2f39e8b879f3144df51c42a7661bdbd9c0e303be
